Week_number,date,year,IsHoliday,holiday
1,05/02/2010,2010,FALSE,0
2,12/02/2010,2010,TRUE,1
3,19/02/2010,2010,FALSE,0
4,26/02/2010,2010,FALSE,0
5,05/03/2010,2010,FALSE,0
6,12/03/2010,2010,FALSE,0
7,19/03/2010,2010,FALSE,0
8,26/03/2010,2010,FALSE,0
9,02/04/2010,2010,FALSE,0
10,09/04/2010,2010,FALSE,0
11,16/04/2010,2010,FALSE,0
12,23/04/2010,2010,FALSE,0
13,30/04/2010,2010,FALSE,0
14,07/05/2010,2010,FALSE,0
15,14/05/2010,2010,FALSE,0
16,21/05/2010,2010,FALSE,0
17,28/05/2010,2010,FALSE,0
18,04/06/2010,2010,FALSE,0
19,11/06/2010,2010,FALSE,0
20,18/06/2010,2010,FALSE,0
21,25/06/2010,2010,FALSE,0
22,02/07/2010,2010,FALSE,0
23,09/07/2010,2010,FALSE,0
24,16/07/2010,2010,FALSE,0
25,23/07/2010,2010,FALSE,0
26,30/07/2010,2010,FALSE,0
27,06/08/2010,2010,FALSE,0
28,13/08/2010,2010,FALSE,0
29,20/08/2010,2010,FALSE,0
30,27/08/2010,2010,FALSE,0
31,03/09/2010,2010,FALSE,0
32,10/09/2010,2010,TRUE,1
33,17/09/2010,2010,FALSE,0
34,24/09/2010,2010,FALSE,0
35,01/10/2010,2010,FALSE,0
36,08/10/2010,2010,FALSE,0
37,15/10/2010,2010,FALSE,0
38,22/10/2010,2010,FALSE,0
39,29/10/2010,2010,FALSE,0
40,05/11/2010,2010,FALSE,0
41,12/11/2010,2010,FALSE,0
42,19/11/2010,2010,FALSE,0
43,26/11/2010,2010,TRUE,1
44,03/12/2010,2010,FALSE,0
45,10/12/2010,2010,FALSE,0
46,17/12/2010,2010,FALSE,0
47,24/12/2010,2010,FALSE,0
48,31/12/2010,2010,TRUE,1
49,07/01/2011,2010,FALSE,0
50,14/01/2011,2010,FALSE,0
51,21/01/2011,2010,FALSE,0
52,28/01/2011,2010,FALSE,0
1,04/02/2011,2011,FALSE,0
2,11/02/2011,2011,TRUE,1
3,18/02/2011,2011,FALSE,0
4,25/02/2011,2011,FALSE,0
5,04/03/2011,2011,FALSE,0
6,11/03/2011,2011,FALSE,0
7,18/03/2011,2011,FALSE,0
8,25/03/2011,2011,FALSE,0
9,01/04/2011,2011,FALSE,0
10,08/04/2011,2011,FALSE,0
11,15/04/2011,2011,FALSE,0
12,22/04/2011,2011,FALSE,0
13,29/04/2011,2011,FALSE,0
14,06/05/2011,2011,FALSE,0
15,13/05/2011,2011,FALSE,0
16,20/05/2011,2011,FALSE,0
17,27/05/2011,2011,FALSE,0
18,03/06/2011,2011,FALSE,0
19,10/06/2011,2011,FALSE,0
20,17/06/2011,2011,FALSE,0
21,24/06/2011,2011,FALSE,0
22,01/07/2011,2011,FALSE,0
23,08/07/2011,2011,FALSE,0
24,15/07/2011,2011,FALSE,0
25,22/07/2011,2011,FALSE,0
26,29/07/2011,2011,FALSE,0
27,05/08/2011,2011,FALSE,0
28,12/08/2011,2011,FALSE,0
29,19/08/2011,2011,FALSE,0
30,26/08/2011,2011,FALSE,0
31,02/09/2011,2011,FALSE,0
32,09/09/2011,2011,TRUE,1
33,16/09/2011,2011,FALSE,0
34,23/09/2011,2011,FALSE,0
35,30/09/2011,2011,FALSE,0
36,07/10/2011,2011,FALSE,0
37,14/10/2011,2011,FALSE,0
38,21/10/2011,2011,FALSE,0
39,28/10/2011,2011,FALSE,0
40,04/11/2011,2011,FALSE,0
41,11/11/2011,2011,FALSE,0
42,18/11/2011,2011,FALSE,0
43,25/11/2011,2011,TRUE,1
44,02/12/2011,2011,FALSE,0
45,09/12/2011,2011,FALSE,0
46,16/12/2011,2011,FALSE,0
47,23/12/2011,2011,FALSE,0
48,30/12/2011,2011,TRUE,1
49,06/01/2012,2011,FALSE,0
50,13/01/2012,2011,FALSE,0
51,20/01/2012,2011,FALSE,0
52,27/01/2012,2011,FALSE,0
1,03/02/2012,2012,FALSE,0
2,10/02/2012,2012,TRUE,1
3,17/02/2012,2012,FALSE,0
4,24/02/2012,2012,FALSE,0
5,02/03/2012,2012,FALSE,0
6,09/03/2012,2012,FALSE,0
7,16/03/2012,2012,FALSE,0
8,23/03/2012,2012,FALSE,0
9,30/03/2012,2012,FALSE,0
10,06/04/2012,2012,FALSE,0
11,13/04/2012,2012,FALSE,0
12,20/04/2012,2012,FALSE,0
13,27/04/2012,2012,FALSE,0
14,04/05/2012,2012,FALSE,0
15,11/05/2012,2012,FALSE,0
16,18/05/2012,2012,FALSE,0
17,25/05/2012,2012,FALSE,0
18,01/06/2012,2012,FALSE,0
19,08/06/2012,2012,FALSE,0
20,15/06/2012,2012,FALSE,0
21,22/06/2012,2012,FALSE,0
22,29/06/2012,2012,FALSE,0
23,06/07/2012,2012,FALSE,0
24,13/07/2012,2012,FALSE,0
25,20/07/2012,2012,FALSE,0
26,27/07/2012,2012,FALSE,0
27,03/08/2012,2012,FALSE,0
28,10/08/2012,2012,FALSE,0
29,17/08/2012,2012,FALSE,0
30,24/08/2012,2012,FALSE,0
31,31/08/2012,2012,FALSE,0
32,07/09/2012,2012,TRUE,1
33,14/09/2012,2012,FALSE,0
34,21/09/2012,2012,FALSE,0
35,28/09/2012,2012,FALSE,0
36,05/10/2012,2012,FALSE,0
37,12/10/2012,2012,FALSE,0
38,19/10/2012,2012,FALSE,0
39,26/10/2012,2012,FALSE,0
40,02/11/2012,2012,FALSE,0
41,09/11/2012,2012,FALSE,0
42,16/11/2012,2012,FALSE,0
43,23/11/2012,2012,TRUE,1
44,30/11/2012,2012,FALSE,0
45,07/12/2012,2012,FALSE,0
46,14/12/2012,2012,FALSE,0
47,21/12/2012,2012,FALSE,0
48,28/12/2012,2012,TRUE,1
49,04/01/2013,2012,FALSE,0
50,11/01/2013,2012,FALSE,0
51,18/01/2013,2012,FALSE,0
52,25/01/2013,2012,FALSE,0
1,01/02/2013,2013,FALSE,0
2,08/02/2013,2013,TRUE,1
3,15/02/2013,2013,FALSE,0
4,22/02/2013,2013,FALSE,0
5,01/03/2013,2013,FALSE,0
6,08/03/2013,2013,FALSE,0
7,15/03/2013,2013,FALSE,0
8,22/03/2013,2013,FALSE,0
9,29/03/2013,2013,FALSE,0
10,05/04/2013,2013,FALSE,0
11,12/04/2013,2013,FALSE,0
12,19/04/2013,2013,FALSE,0
13,26/04/2013,2013,FALSE,0
14,03/05/2013,2013,FALSE,0
15,10/05/2013,2013,FALSE,0
16,17/05/2013,2013,FALSE,0
17,24/05/2013,2013,FALSE,0
18,31/05/2013,2013,FALSE,0
19,07/06/2013,2013,FALSE,0
20,14/06/2013,2013,FALSE,0
21,21/06/2013,2013,FALSE,0
22,28/06/2013,2013,FALSE,0
23,05/07/2013,2013,FALSE,0
24,12/07/2013,2013,FALSE,0
25,19/07/2013,2013,FALSE,0
26,26/07/2013,2013,FALSE,0